person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_log,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
21,9600,5.0,1,1000,11.14,0,0.1,0,2,9.169622538697624,False,False,True,False,False,True,False,False,False,False
25,9600,1.0,2,5500,12.87,1,0.57,0,3,9.169622538697624,True,False,False,False,False,False,False,True,False,False
23,65500,4.0,2,35000,15.23,1,0.53,0,2,11.089820688682373,False,False,False,True,False,False,False,True,False,False
24,54400,8.0,2,35000,14.27,1,0.55,1,4,10.904137815028022,False,False,False,True,False,False,False,True,False,False
21,9900,2.0,0,2500,7.14,1,0.25,0,2,9.200391041122515,False,False,True,False,False,False,False,False,False,True
26,77100,8.0,1,35000,12.42,1,0.45,0,3,11.252871529635922,False,False,False,True,False,True,False,False,False,False
24,78956,5.0,1,35000,11.11,1,0.44,0,4,11.276658679464603,False,False,False,True,False,False,False,True,False,False
24,83000,8.0,0,35000,8.9,1,0.42,0,2,11.326607934898927,False,False,False,True,False,False,False,False,True,False
21,10000,6.0,3,1600,14.74,1,0.16,0,3,9.210440366976517,False,False,True,False,False,False,False,False,False,True
22,85000,6.0,1,35000,10.37,1,0.41,0,4,11.350418300109132,False,False,False,True,False,False,False,False,False,True
21,10000,2.0,0,4500,8.63,1,0.45,0,2,9.210440366976517,False,False,True,False,False,False,True,False,False,False
23,95000,2.0,0,35000,7.9,1,0.37,0,2,11.461642696843066,False,False,False,True,False,False,False,False,False,True
26,108160,4.0,4,35000,18.39,1,0.32,0,4,11.591376136796182,False,False,False,True,False,True,False,False,False,False
23,115000,2.0,0,35000,7.9,0,0.3,0,4,11.652696102959753,False,False,False,True,False,True,False,False,False,False
23,500000,7.0,1,30000,10.65,0,0.06,0,3,13.122365377402328,True,False,False,False,True,False,False,False,False,False
